Fecha;Dia;Inicial;Realizo
2021-11-08;Lunes;drosellini;drosellini
2021-11-09;Martes;hsismondi;hsismondi
2021-11-10;Miercoles;itrepin;mvilla
2021-11-11;Jueves;mvilla;rgodoy
2021-11-12;Viernes;jmgarcia;rgodoy
2021-11-13;Sábado;jmgarcia;rgodoy
2021-11-14;Domingo;jmgarcia;rgodoy
2021-11-15;Lunes;szabala;rgodoy
2021-11-16;Martes;ocizarate;ocizarate
2021-11-17;Miercoles;meacevedo;rgodoy
2021-11-18;Jueves;malfonso;malfonso
2021-11-19;Viernes;rgodoy;mediaz
2021-11-20;Sábado;rgodoy;mediaz
2021-11-21;Domingo;rgodoy;mediaz
2021-11-22;Lunes;rgodoy;mediaz
2021-11-23;Martes;malvarez;lcuello
2021-11-24;Miercoles;mcaamano;mcalvagni
2021-11-25;Jueves;mcalvagni;mcalvagni
2021-11-26;Viernes;nlopez;nlopez
2021-11-27;Sábado;nlopez;nlopez
2021-11-28;Domingo;nlopez;nlopez
2021-11-29;Lunes;nchialvo;nlopez
2021-11-30;Martes;hcofanelli;hcofanelli
2021-12-01;Miercoles;lcuello;lcuello
2021-12-02;Jueves;mediaz;mediaz
2021-12-03;Viernes;emarcelloni;emarcelloni
2021-12-04;Sábado;emarcelloni;emarcelloni
2021-12-05;Domingo;emarcelloni;emarcelloni
2021-12-06;Lunes;jmgarcia;malfonso
2021-12-07;Martes;rgodoy;rgodoy
2021-12-08;Miercoles;rgodoy;rgodoy
2021-12-09;Jueves;nlopez;nlopez
2021-12-10;Viernes;npittavino;npittavino
2021-12-11;Sábado;npittavino;npittavino
2021-12-12;Domingo;npittavino;npittavino
2021-12-13;Lunes;emarcelloni;lcuello
2021-12-14;Martes;npittavino;npittavino
2021-12-15;Miercoles;jrivera;atroya
2021-12-16;Jueves;drosellini;drosellini
2021-12-17;Viernes;jrivera;rgodoy
2021-12-18;Sábado;jrivera;rgodoy
2021-12-19;Domingo;jrivera;rgodoy
2021-12-20;Lunes;hsismondi;hsismondi
2021-12-21;Martes;itrepin;itrepin
2021-12-22;Miercoles;mvilla;mvilla
2021-12-23;Jueves;drosellini;drosellini
2021-12-24;Viernes;drosellini;drosellini
2021-12-25;Sábado;drosellini;drosellini
2021-12-26;Domingo;drosellini;drosellini
2021-12-27;Lunes;szabala;ocizarate
2021-12-28;Martes;ocizarate;ocizarate
2021-12-29;Miercoles;meacevedo;malfonso
2021-12-30;Jueves;itrepin;
2021-12-31;Viernes;itrepin;
