Fecha;Dia;Inicial;Realizo
2022-06-20;Lunes;npittavino;
2022-06-21;Martes;mcalvagni;
2022-06-22;Miercoles;hcofanelli;
2022-06-23;Jueves;lcuello;
2022-06-24;Viernes;drosellini;
2022-06-25;Sábado;drosellini;
2022-06-26;Domingo;drosellini;
2022-06-27;Lunes;mediaz;
2022-06-28;Martes;jmgarcia;
2022-06-29;Miercoles;rgodoy;
2022-06-30;Jueves;nlopez;
2022-07-01;Viernes;itrepin;
2022-07-02;Sábado;itrepin;
2022-07-03;Domingo;itrepin;
2022-07-04;Lunes;emarcelloni;
2022-07-05;Martes;npittavino;
2022-07-06;Miercoles;drosellini;
2022-07-07;Jueves;hsismondi;
2022-07-08;Viernes;atroya;
2022-07-09;Sábado;atroya;
2022-07-10;Domingo;atroya;
2022-07-11;Lunes;itrepin;
2022-07-12;Martes;atroya;
2022-07-13;Miercoles;mvilla;
2022-07-14;Jueves;ocizarate;
2022-07-15;Viernes;mvilla;
2022-07-16;Sábado;mvilla;
2022-07-17;Domingo;mvilla;
2022-07-18;Lunes;malfonso;
2022-07-19;Martes;malvarez;
2022-07-20;Miercoles;mcaamano;
2022-07-21;Jueves;mcalvagni;
2022-07-22;Viernes;ocizarate;
2022-07-23;Sábado;ocizarate;
2022-07-24;Domingo;ocizarate;
2022-07-25;Lunes;hcofanelli;
2022-07-26;Martes;lcuello;
2022-07-27;Miercoles;mediaz;
2022-07-28;Jueves;jmgarcia;
2022-07-29;Viernes;malfonso;
2022-07-30;Sábado;malfonso;
2022-07-31;Domingo;malfonso;
